Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Malmany (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#TableHotes|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.28190791,55.63721371,"6, chemin Boulanger - Jean Petit - Grand Coude",97480#Saint-Joseph,,,Soubik,ADT Réunion,2020-07-21,Malmany (Le)#,,,https://data.datatourisme.fr/54/2b524c26-dffe-3efc-ba1d-e457e6106646
Quick,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-21.038221,55.219722,"1 bis, rue Cheminée",97434#Saint-Paul,,,Soubik,ADT Réunion,2019-10-10,Quick#http://www.quick.fr/,,,https://data.datatourisme.fr/54/2b659b8b-d6eb-3fc6-85f6-11145ab0c2e9
Echappée Belle (L'),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.247044,55.470019,"13, impasse du Palmier",97414#Entre-Deux,,,Soubik,ADT Réunion,2022-11-03,Echappée Belle (L')#http://www.lechappee-belle.com/,,,https://data.datatourisme.fr/54/2b774ec7-aa2b-32bc-b76f-0bf4b24b43bb
Akéa Spa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#FitnessCenter|http://schema.org/LocalBusiness,-21.366668,55.550683,Rue des Mascarins - Grand'Anse,97429#Petite-Île,,,Soubik,ADT Réunion,2023-06-08,Akéa Spa#http://www.palm.re/,,,https://data.datatourisme.fr/54/88d0a1c9-9246-3481-a023-d722136f6041
Avis Réunion - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892253,55.51136,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2021-07-13,Avis Réunion - Agence de l'Aéroport Roland Garros#https://www.avisreunion.com/,,,https://data.datatourisme.fr/54/88e47582-85a0-35e7-ad90-b19272dbdc50
Hélilagon - Agence Nord,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#LeisureSportActivityProvider,-20.891104,55.513008,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2023-01-23,Hélilagon - Agence Nord#http://www.helilagon.com/,,,https://data.datatourisme.fr/54/8edffc14-1e48-3ce6-af3a-e2fd6816fb0d
Budget - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892365,55.511288,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2021-07-13,Budget - Agence de l'Aéroport Roland Garros#http://www.budget-reunion.com/,,,https://data.datatourisme.fr/54/3cef99b4-83a9-3a15-9a97-262def589c1c
Jumbo Car - Agence de l'Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.892695,55.510917,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2023-08-22,Jumbo Car - Agence de l'Aéroport Roland Garros#https://www.jumbocar.com/,,,https://data.datatourisme.fr/54/404073d6-84b5-3c15-b958-bfad634e8552
Aérobar (L'),https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,-20.891882,55.51279,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2019-10-10,Aérobar (L')#,,,https://data.datatourisme.fr/54/5f3bb7c1-550d-39a1-8dcc-3ad9ebdc616b
Multi Auto - Location de voitures Aéroport Roland Garros,https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Rental|http://schema.org/Product,-20.893626,55.511262,Aéroport Roland Garros,97438#Sainte-Marie,,,Soubik,ADT Réunion,2021-02-05,Multi Auto - Location de voitures Aéroport Roland Garros#https://multiauto.fr/agences-location-voiture-reunion/agence-location-voiture-aeroport-reunion/,,,https://data.datatourisme.fr/54/7984fb1c-1024-345d-b436-b992232d1707
